id,member_id,loan_amnt,loan_amnt_band,funded_amnt,funded_amnt_band,funded_amnt_inv,funded_amnt_inv_band,term,int_rate,int_rate_band,installment,installment_band,grade,sub_grade,emp_title,emp_length_years,emp_length_band,home_ownership,annual_inc,annual_inc_band,verification_status,dti,dti_band,purpose,issue_date,issue_month,issue_month_name,issue_year,loan_status_label,default_flag
1077501,1296599,5000,Medium,5000,Low,4975,Low,36 months,10.65,Medium,162.87,Low,B,B2,,10,Expert (7y+),RENT,24000,Low,Verified,27.65,High,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1077430,1314167,2500,Low,2500,Low,2500,Low,60 months,15.27,High,59.83,Low,C,C4,Ryder,1,Fresher (0-1y),RENT,30000,Low,Source Verified,1,Low,car,12/1/2011,12,Dec,2011,Charged Off,1
1077175,1313524,2400,Low,2400,Low,2400,Low,36 months,15.96,High,84.33,Low,C,C5,,10,Expert (7y+),RENT,12252,Low,Not Verified,8.72,Low,small_business,12/1/2011,12,Dec,2011,Fully Paid,0
1076863,1277178,10000,Medium,10000,Medium,10000,Medium,36 months,13.49,Medium,339.31,Medium,C,C1,AIR RESOURCES BOARD,10,Expert (7y+),RENT,49200,Low,Source Verified,20,Medium,other,12/1/2011,12,Dec,2011,Fully Paid,0
1075269,1311441,5000,Medium,5000,Low,5000,Medium,36 months,7.9,Low,156.46,Low,A,A4,Veolia Transportaton,3,Junior (1-3y),RENT,36000,Low,Source Verified,11.2,Medium,wedding,12/1/2011,12,Dec,2011,Fully Paid,0
1069639,1304742,7000,Medium,7000,Medium,7000,Medium,60 months,15.96,High,170.08,Low,C,C5,Southern Star Photography,8,Expert (7y+),RENT,47004,Low,Not Verified,23.51,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1072053,1288686,3000,Low,3000,Low,3000,Low,36 months,18.64,High,109.43,Low,E,E1,MKC Accounting,9,Expert (7y+),RENT,48000,Low,Source Verified,5.35,Low,car,12/1/2011,12,Dec,2011,Fully Paid,0
1071795,1306957,5600,Medium,5600,Medium,5600,Medium,60 months,21.28,High,152.39,Low,F,F2,,4,Senior (3-7y),OWN,40000,Low,Source Verified,5.55,Low,small_business,12/1/2011,12,Dec,2011,Charged Off,1
1071570,1306721,5375,Medium,5375,Medium,5350,Medium,60 months,12.69,Medium,121.45,Low,B,B5,Starbucks,1,Fresher (0-1y),RENT,15000,Low,Verified,18.08,Medium,other,12/1/2011,12,Dec,2011,Charged Off,1
1070078,1305201,6500,Medium,6500,Medium,6500,Medium,60 months,14.65,Medium,153.45,Low,C,C3,Southwest Rural metro,5,Senior (3-7y),OWN,72000,Medium,Not Verified,16.12,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
